#(carId,StartTime,RoadId...)
(11330,43,5081)
(11331,43,5010)
(11332,1,5088)
(11333,25,5054)
(11334,4,5008)
(11335,43,5081)
(11336,43,5088)
(11337,7,5008)
(11338,1,5035)
(11339,7,5008)
(11340,43,5013)
(11341,3,5009)
(11342,20,5022)
(11343,10,5012)
(11344,13,5088)
(11345,2,5049)
(11346,13,5079)
(11347,13,5062)
(11348,13,5014)
(11349,17,5023)
(11350,16,5086)
(11351,43,5035)
(11352,2,5005)
(11353,25,5029)
(11354,25,5007)
(11355,43,5011)
(11356,43,5091)
(11357,1,5062)
(11358,25,5065)
(11359,43,5000)
(11360,25,5094)
(11361,13,5007)
(11362,43,5009)
(11363,13,5077)
(11364,13,5000)
(11365,1,5001)
(11366,13,5096)
(11367,25,5081)
(11368,13,5011)
(11369,13,5007)
(11370,7,5038)
(11371,13,5066)
(11372,43,5062)
(11373,9,5028)
(11374,2,5025)
(11375,13,5024)
(11376,43,5063)
(11377,43,5068)
(11378,17,5052)
(11379,25,5088)
(11380,13,5051)
(11381,28,5097)
(11382,44,5002)
(11383,13,5094)
(11384,13,5083)
(11385,43,5055)
(11386,8,5022)
(11387,1,5032)
(11388,45,5052)
(11389,43,5005)
(11390,43,5093)
(11391,25,5027)
(11392,5,5069)
(11393,44,5055)
(11394,25,5065)
(11395,6,5010)
(11396,13,5013)
(11397,43,5037)
(11398,43,5092)
(11399,43,5083)
(11400,25,5091)
(11401,43,5090)
(11402,1,5092)
(11403,3,5007)
(11404,1,5081)
(11405,5,5052)
(11406,13,5067)
(11407,7,5095)
(11408,25,5003)
(11409,13,5081)
(11410,10,5088)
(11411,43,5035)
(11412,25,5093)
(11413,54,5041)
(11414,21,5022)
(11415,2,5064)
(11416,43,5094)
(11417,25,5029)
(11418,28,5082)
(11419,1,5007,5022,5035,5048,5062,5077,5084,5085)
(11420,13,5064)
(11421,13,5032)
(11422,13,5037)
(11423,43,5054)
(11424,25,5062)
(11425,43,5059)
(11426,25,5025)
(11427,6,5055)
(11428,13,5000)
(11429,25,5007,5022,5035,5048,5062,5077,5084)
(11430,9,5009)
(11431,10,5079)
(11432,43,5013)
(11433,17,5023)
(11434,13,5029)
(11435,25,5001)
(11436,25,5024)
(11437,1,5037)
(11438,4,5094)
(11439,43,5029)
(11440,2,5007,5022,5035,5048,5062,5070,5071,5072,5073,5074,5082,5088)
(11441,25,5013)
(11442,9,5097)
(11443,4,5051)
(11444,1,5049)
(11445,25,5050)
(11446,25,5062)
(11447,25,5066)
(11448,10,5014)
(11449,4,5063)
(11450,25,5012)
(11451,45,5004)
(11452,13,5063)
(11453,29,5052)
(11454,25,5093)
(11455,10,5001)
(11456,13,5024)
(11457,7,5035)
(11458,8,5078)
(11459,25,5008)
(11460,43,5000)
(11461,3,5007)
(11462,7,5059)
(11463,1,5078)
(11464,13,5008)
(11465,13,5092)
(11466,7,5007)
(11467,43,5046)
(11468,14,5002)
(11469,9,5000)
(11470,8,5078)
(11471,9,5097)
(11472,47,5079)
(11473,28,5082)
(11474,47,5079)
(11475,6,5011)
(11476,25,5029)
(11477,5,5039)
(11478,1,5007)
(11479,10,5093)
(11480,43,5066)
(11481,1,5062)
(11482,13,5048)
(11483,25,5002)
(11484,1,5078)
(11485,28,5097)
(11486,17,5052)
(11487,43,5007)
(11488,28,5082)
(11489,13,5050)
(11490,43,5091)
(11491,4,5082)
(11492,1,5037)
(11493,1,5029)
(11494,44,5086)
(11495,13,5068)
(11496,4,5095)
(11497,14,5002)
(11498,43,5001)
(11499,2,5039)
(11500,43,5009)
(11501,2,5067)
(11502,43,5027)
(11503,5,5001)
(11504,6,5096)
(11505,1,5013)
(11506,1,5040)
(11507,25,5011)
(11508,1,5013)
(11509,13,5077)
(11510,7,5014)
(11511,1,5024)
(11512,43,5038)
(11513,13,5081)
(11514,25,5044)
(11515,16,5086)
(11516,25,5029)
(11517,43,5066)
(11518,13,5000)
(11519,13,5092)
(11520,2,5011)
(11521,25,5090)
(11522,30,5022)
(11523,2,5009)
(11524,9,5090)
(11525,43,5035)
(11526,25,5040)
(11527,3,5005)
(11528,1,5048)
(11529,1,5055)
(11530,25,5006)
(11531,25,5013)
(11532,13,5028)
(11533,4,5095)
(11534,26,5041)
(11535,13,5003)
(11536,43,5032)
(11537,43,5024)
(11538,25,5039)
(11539,13,5082)
(11540,6,5028)
(11541,4,5040)
(11542,6,5086)
(11543,52,5077)
(11544,1,5008)
(11545,13,5024)
(11546,13,5006)
(11547,25,5069)
(11548,43,5000)
(11549,1,5007,5022,5035,5041,5042,5043,5051,5058,5059,5060)
(11550,5,5081)
(11551,2,5003)
(11552,13,5006)
(11553,43,5024)
(11554,25,5024)
(11555,3,5035)
(11556,25,5088)
(11557,45,5023)
(11558,43,5095)
(11559,43,5010)
(11560,13,5027)
(11561,16,5055)
(11562,25,5068)
(11563,43,5093)
(11564,7,5027)
(11565,43,5025)
(11566,44,5002)
(11567,4,5083)
(11568,3,5037)
(11569,16,5086)
(11570,16,5002)
(11571,13,5064)
(11572,43,5063)
(11573,43,5025)
(11574,6,5009)
(11575,43,5009)
(11576,1,5083)
(11577,13,5079)
(11578,43,5013)
(11579,10,5093)
(11580,1,5008)
(11581,43,5009)
(11582,21,5022)
(11583,3,5040)
(11584,13,5067)
(11585,43,5078)
(11586,45,5052)
(11587,43,5051)
(11588,43,5068)
(11589,8,5088)
(11590,43,5097)
(11591,1,5062)
(11592,3,5093)
(11593,2,5062)
(11594,1,5025)
(11595,7,5077)
(11596,7,5035)
(11597,2,5044)
(11598,43,5003)
(11599,5,5082)
(11600,25,5012)
(11601,25,5003)
(11602,43,5037)
(11603,25,5065)
(11604,7,5092)
(11605,1,5028)
(11606,25,5086)
(11607,25,5059)
(11608,27,5077)
(11609,1,5065)
(11610,9,5049)
(11611,13,5005)
(11612,43,5012)
(11613,13,5050)
(11614,43,5049)
(11615,2,5065)
(11616,1,5032)
(11617,13,5032)
(11618,2,5059)
(11619,5,5050)
(11620,43,5068)
(11621,43,5091)
(11622,6,5037)
(11623,8,5006)
(11624,5,5011)
(11625,7,5088)
(11626,25,5092)
(11627,5,5007,5022,5035,5048,5062,5077,5090,5098,5099,5100)
(11628,5,5079)
(11629,5,5001)
(11630,13,5027)
(11631,43,5063)
(11632,13,5094)
(11633,43,5094)
(11634,43,5013)
(11635,33,5023)
(11636,5,5082)
(11637,44,5050)
(11638,21,5022)
(11639,25,5010)
(11640,13,5077)
(11641,8,5027)
(11642,25,5051)
(11643,9,5091)
(11644,28,5046)
(11645,43,5062)
(11646,13,5096)
(11647,43,5011)
(11648,25,5028)
(11649,43,5011)
(11650,43,5007)
(11651,13,5040)
(11652,25,5039)
(11653,5,5013)
(11654,13,5035)
(11655,43,5083)
(11656,56,5041)
(11657,1,5083)
(11658,25,5007,5022,5035,5041,5042,5043,5051,5058)
(11659,1,5078)
(11660,4,5054)
(11661,13,5006)
(11662,14,5007,5022,5035,5048,5062,5077,5090,5098,5099,5100,5101)
(11663,7,5050)
(11664,43,5066)
(11665,25,5006)
(11666,25,5007,5022,5035,5048,5062,5070)
(11667,45,5086)
(11668,13,5039)
(11669,25,5039)
(11670,2,5039)
(11671,43,5013)
(11672,1,5092)
(11673,9,5023)
(11674,13,5088)
(11675,25,5094)
(11676,43,5066)
(11677,25,5001)
(11678,13,5037)
(11679,2,5007)
(11680,7,5008)
(11681,1,5059)
(11682,13,5064)
(11683,5,5052)
(11684,50,5022)
(11685,4,5002)
(11686,17,5004)
(11687,6,5041)
(11688,25,5037)
(11689,28,5046)
(11690,52,5077)
(11691,13,5006)
(11692,9,5090)
(11693,13,5067)
(11694,5,5006)
(11695,43,5081)
(11696,1,5001)
(11697,1,5044)
(11698,43,5064)
(11699,29,5004)
(11700,43,5049)
(11701,29,5004)
(11702,13,5012)
(11703,13,5032)
(11704,13,5094)
(11705,25,5049)
(11706,43,5078)
(11707,43,5014)
(11708,13,5094)
(11709,1,5090)
(11710,45,5023)
(11711,33,5052)
(11712,25,5078)
(11713,16,5046)
(11714,1,5005)
(11715,43,5064)
(11716,49,5004)
(11717,13,5097)
(11718,6,5044)
(11719,43,5094)
(11720,13,5040)
(11721,43,5049)
(11722,25,5066)
(11723,43,5038)
(11724,1,5039)
(11725,49,5023)
(11726,17,5052)
(11727,1,5066)
(11728,25,5003)
(11729,10,5048)
(11730,25,5090)
(11731,2,5044)
(11732,25,5028)
(11733,44,5065)
(11734,1,5067)
(11735,1,5005)
(11736,1,5092)
(11737,28,5077)
(11738,44,5005)
(11739,14,5001)
(11740,10,5012)
(11741,4,5081)
(11742,44,5012)
(11743,1,5068)
(11744,44,5068)
(11745,13,5003)
(11746,13,5051)
(11747,13,5008)
(11748,25,5092)
(11749,25,5024)
(11750,8,5006)
(11751,25,5092)
(11752,13,5068)
(11753,26,5012)
(11754,28,5082)
(11755,1,5094)
(11756,44,5090)
(11757,28,5046)
(11758,49,5079)
(11759,2,5032)
(11760,4,5048)
(11761,10,5081)
(11762,44,5094)
(11763,44,5039)
(11764,16,5046)
(11765,2,5069)
(11766,4,5086)
(11767,1,5064)
(11768,13,5007)
(11769,1,5069)
(11770,26,5041)
(11771,44,5005)
(11772,25,5006)
(11773,25,5032)
(11774,25,5011)
(11775,25,5000)
(11776,1,5007)
(11777,44,5024)
(11778,7,5083)
(11779,44,5093)
(11780,4,5090)
(11781,25,5091)
(11782,26,5055)
(11783,1,5051)
(11784,2,5025)
(11785,44,5069)
(11786,5,5092)
(11787,1,5064)
(11788,2,5008)
(11789,5,5078)
(11790,5,5069)
(11791,25,5035)
(11792,9,5006)
(11793,6,5035)
(11794,1,5095)
(11795,25,5093)
(11796,44,5083)
(11797,25,5062)
(11798,17,5052)
(11799,25,5092)
(11800,25,5000)
(11801,13,5063)
(11802,17,5023)
(11803,44,5014)
(11804,13,5051)
(11805,25,5011)
(11806,5,5011)
(11807,1,5002)
(11808,44,5028)
(11809,25,5032)
(11810,5,5004)
(11811,9,5055)
(11812,44,5044)
(11813,44,5007,5022,5035,5048,5062,5077,5090,5098,5099,5100,5101)
(11814,4,5062)
(11815,25,5094)
(11816,13,5035)
(11817,1,5091)
(11818,21,5022)
(11819,4,5005)
(11820,44,5050)
(11821,44,5025)
(11822,51,5022)
(11823,25,5039)
(11824,44,5035)
(11825,44,5069)
(11826,5,5011)
(11827,7,5063)
(11828,44,5064)
(11829,4,5066)
(11830,25,5048)
(11831,8,5013)
(11832,5,5024)
(11833,1,5063)
(11834,8,5090)
(11835,10,5046)
(11836,52,5077)
(11837,1,5078)
(11838,13,5007)
(11839,13,5093)
(11840,27,5055)
(11841,1,5012)
(11842,5,5029)
(11843,13,5088)
(11844,13,5000)
(11845,44,5024)
(11846,13,5090)
(11847,17,5052)
(11848,44,5091)
(11849,25,5062)
(11850,13,5065)
(11851,25,5051)
(11852,27,5063)
(11853,25,5083)
(11854,3,5003)
(11855,13,5067)
(11856,25,5065)
(11857,4,5012)
(11858,44,5007,5022,5035,5048,5062,5070,5071,5072,5073,5074,5075,5076)
(11859,26,5041)
(11860,13,5005)
(11861,16,5086)
(11862,5,5069)
(11863,25,5068)
(11864,16,5046)
(11865,1,5025)
(11866,2,5039)
(11867,25,5051)
(11868,2,5068)
(11869,25,5029)
(11870,2,5068)
(11871,46,5082)
(11872,29,5046)
(11873,13,5095)
(11874,16,5002)
(11875,27,5063)
(11876,25,5062)
(11877,46,5086)
(11878,1,5083)
(11879,44,5008)
(11880,1,5077)
(11881,25,5081)
(11882,25,5064)
(11883,14,5050)
(11884,27,5055)
(11885,1,5088)
(11886,7,5078)
(11887,13,5032)
(11888,13,5003)
(11889,13,5014)
(11890,2,5094)
(11891,44,5025)
(11892,44,5062)
(11893,13,5014)
(11894,44,5007,5022,5035,5048,5062,5077,5084)
(11895,2,5097)
(11896,44,5024)
(11897,4,5040)
(11898,2,5029)
(11899,7,5041)
(11900,13,5025)
(11901,44,5009)
(11902,44,5046)
(11903,25,5028)
(11904,2,5093)
(11905,17,5046)
(11906,2,5077)
(11907,13,5059)
(11908,46,5086)
(11909,17,5052)
(11910,9,5051)
(11911,2,5035)
(11912,30,5022)
(11913,25,5024)
(11914,25,5010)
(11915,28,5077)
(11916,1,5066)
(11917,13,5048)
(11918,1,5027)
(11919,13,5004)
(11920,16,5002)
(11921,44,5065)
(11922,9,5041)
(11923,25,5005)
(11924,13,5090)
(11925,25,5078)
(11926,25,5007)
(11927,13,5093)
(11928,25,5035)
(11929,44,5000)
(11930,14,5007,5022,5035,5048,5062,5070,5071)
(11931,13,5063)
(11932,25,5027)
(11933,11,5022)
(11934,25,5088)
(11935,44,5059)
(11936,29,5046)
(11937,28,5079)
(11938,44,5096)
(11939,49,5004)
(11940,10,5001)
(11941,25,5069)
(11942,25,5069)
(11943,44,5027)
(11944,5,5048)
(11945,4,5002)
(11946,25,5050)
(11947,25,5065)
(11948,13,5049)
(11949,10,5059)
(11950,1,5062)
(11951,13,5062)
(11952,44,5088)
(11953,48,5063)
(11954,25,5029)
(11955,44,5068)
(11956,25,5032)
(11957,4,5055)
(11958,46,5086)
(11959,1,5054)
(11960,3,5028)
(11961,25,5081)
(11962,25,5024)
(11963,44,5090)
(11964,8,5011)
(11965,1,5037)
(11966,13,5003)
(11967,30,5022)
(11968,21,5022)
(11969,44,5064)
(11970,14,5082)
(11971,53,5086)
(11972,44,5065)
(11973,6,5096)
(11974,14,5083)
(11975,26,5081)
(11976,14,5062)
(11977,44,5032)
(11978,26,5012)
(11979,26,5081)
(11980,45,5052)
(11981,28,5082)
(11982,44,5069)
(11983,26,5068)
(11984,14,5064)
(11985,14,5081)
(11986,26,5007)
(11987,6,5064)
(11988,4,5035)
(11989,44,5006)
(11990,44,5010)
(11991,45,5055)
(11992,1,5082)
(11993,44,5066)
(11994,26,5029)
(11995,14,5039)
(11996,2,5003)
(11997,1,5069)
(11998,14,5027)
(11999,2,5059)
(12000,27,5012)
(12001,6,5007)
(12002,44,5054)
(12003,5,5040)
(12004,14,5069)
(12005,44,5025)
(12006,45,5052)
(12007,44,5035)
(12008,48,5063)
(12009,44,5093)
(12010,45,5002)
(12011,26,5038)
(12012,44,5010)
(12013,9,5029)
(12014,16,5086)
(12015,1,5039)
(12016,2,5000)
(12017,54,5022)
(12018,44,5032)
(12019,7,5063)
(12020,26,5032)
(12021,14,5081)
(12022,26,5083)
(12023,26,5069)
(12024,1,5012)
(12025,1,5067)
(12026,26,5048)
(12027,48,5055)
(12028,33,5023)
(12029,1,5014)
(12030,2,5024)
(12031,10,5038)
(12032,8,5000)
(12033,14,5009)
(12034,44,5032)
(12035,14,5048)
(12036,44,5093)
(12037,4,5024)
(12038,26,5092)
(12039,2,5055)
(12040,14,5035)
(12041,3,5039)
(12042,44,5067)
(12043,1,5010)
(12044,44,5062)
(12045,1,5090)
(12046,4,5000)
(12047,1,5027)
(12048,26,5010)
(12049,44,5088)
(12050,44,5013)
(12051,26,5010)
(12052,10,5041)
(12053,1,5013)
(12054,14,5025)
(12055,14,5041)
(12056,14,5059)
(12057,44,5069)
(12058,1,5049)
(12059,44,5005)
(12060,44,5062)
(12061,14,5067)
(12062,44,5059)
(12063,46,5082)
(12064,4,5066)
(12065,4,5063)
(12066,26,5028)
(12067,3,5077)
(12068,14,5041)
(12069,1,5003)
(12070,26,5049)
(12071,14,5050)
(12072,14,5025)
(12073,26,5025)
(12074,26,5054)
(12075,4,5088)
(12076,1,5093)
(12077,26,5027)
(12078,45,5013)
(12079,6,5032)
(12080,1,5081)
(12081,45,5090)
(12082,1,5094)
(12083,45,5051)
(12084,14,5014)
(12085,14,5059)
(12086,45,5095)
(12087,14,5067)
(12088,14,5000)
(12089,26,5069)
(12090,11,5022)
(12091,14,5095)
(12092,26,5039)
(12093,10,5094)
(12094,6,5011)
(12095,14,5054)
(12096,1,5091)
(12097,26,5068)
(12098,45,5046)
(12099,26,5003)
(12100,14,5097)
(12101,7,5066)
(12102,26,5040)
(12103,1,5091)
(12104,26,5083)
(12105,45,5039)
(12106,6,5009)
(12107,14,5054)
(12108,14,5048)
(12109,14,5096)
(12110,45,5039)
(12111,26,5044)
(12112,45,5092)
(12113,10,5094)
(12114,49,5063)
(12115,26,5028)
(12116,1,5007)
(12117,14,5068)
(12118,46,5082)
(12119,14,5067)
(12120,26,5049)
(12121,1,5059)
(12122,2,5009)
(12123,26,5067)
(12124,1,5009)
(12125,53,5086)
(12126,6,5096)
(12127,45,5032)
(12128,33,5023)
(12129,26,5050)
(12130,45,5035)
(12131,45,5052)
(12132,45,5040)
(12133,45,5049)
(12134,26,5007,5022,5035,5048,5062,5070,5071,5072,5073)
(12135,26,5029)
(12136,56,5041)
(12137,14,5027)
(12138,1,5091)
(12139,1,5023)
(12140,15,5077)
(12141,14,5032)
(12142,54,5022)
(12143,9,5052)
(12144,6,5095)
(12145,10,5039)
(12146,14,5054)
(12147,14,5044)
(12148,4,5029)
(12149,26,5090)
(12150,45,5078)
(12151,45,5032)
(12152,1,5009)
(12153,26,5096)
(12154,5,5011)
(12155,9,5004)
(12156,2,5068)
(12157,14,5005)
(12158,49,5050)
(12159,45,5011)
(12160,8,5083)
(12161,14,5081)
(12162,45,5081)
(12163,2,5097)
(12164,14,5040)
(12165,45,5069)
(12166,16,5055)
(12167,5,5049)
(12168,6,5044)
(12169,26,5094)
(12170,45,5092)
(12171,26,5039)
(12172,45,5025)
(12173,14,5066)
(12174,45,5066)
(12175,5,5009)
(12176,45,5067)
(12177,14,5091)
(12178,45,5046)
(12179,14,5007)
(12180,45,5005)
(12181,45,5052)
(12182,45,5025)
(12183,26,5064)
(12184,26,5039)
(12185,8,5029)
(12186,5,5079)
(12187,45,5024)
(12188,2,5088)
(12189,14,5091)
(12190,55,5077)
(12191,45,5028)
(12192,2,5065)
(12193,45,5059)
(12194,14,5007)
(12195,13,5004)
(12196,3,5078)
(12197,53,5086)
(12198,46,5082)
(12199,8,5027)
(12200,2,5077)
(12201,4,5083)
(12202,26,5064)
(12203,26,5062)
(12204,7,5040)
(12205,14,5049)
(12206,14,5012)
(12207,2,5025)
(12208,45,5008)
(12209,4,5040)
(12210,45,5024)
(12211,8,5083)
(12212,5,5083)
(12213,4,5038)
(12214,14,5029)
(12215,4,5013)
(12216,26,5029)
(12217,49,5082)
(12218,10,5003)
(12219,1,5013)
(12220,45,5067)
(12221,14,5007,5022,5035,5048,5062,5070,5071,5072,5073,5074,5082,5088)
(12222,14,5040)
(12223,8,5097)
(12224,49,5063)
(12225,7,5044)
(12226,14,5088)
(12227,2,5067)
(12228,6,5055)
(12229,26,5067)
(12230,4,5066)
(12231,1,5092)
(12232,26,5078)
(12233,14,5005)
(12234,45,5097)
(12235,45,5029)
(12236,10,5032)
(12237,26,5006)
(12238,17,5046)
(12239,26,5000)
(12240,26,5014)
(12241,45,5049)
(12242,26,5032)
(12243,45,5066)
(12244,7,5027)
(12245,45,5039)
(12246,45,5037)
(12247,14,5000)
(12248,14,5088)
(12249,14,5048)
(12250,45,5090)
(12251,7,5095)
(12252,14,5083)
(12253,45,5006)
(12254,26,5038)
(12255,1,5009)
(12256,1,5014)
(12257,8,5037)
(12258,1,5066)
(12259,14,5068)
(12260,14,5007,5022,5035,5048,5062,5070)
(12261,26,5027)
(12262,45,5083)
(12263,4,5005)
(12264,9,5092)
(12265,14,5054)
(12266,45,5051)
(12267,15,5050)
(12268,8,5007,5022,5035,5048,5062,5070,5071,5072,5073,5074,5082,5088)
(12269,2,5082)
(12270,10,5097)
(12271,1,5022)
(12272,26,5014)
(12273,26,5028)
(12274,6,5006)
(12275,26,5088)
(12276,26,5044)
(12277,45,5059)
(12278,2,5093)
(12279,45,5059)
(12280,14,5097)
(12281,45,5014)
(12282,14,5064)
(12283,26,5065)
(12284,4,5086)
(12285,2,5007,5022,5035,5048,5062,5077,5084,5085,5086,5087)
(12286,2,5011)
(12287,33,5004)
(12288,7,5083)
(12289,1,5038)
(12290,14,5048)
(12291,45,5048)
(12292,14,5059)
(12293,9,5006)
(12294,3,5028)
(12295,45,5029)
(12296,1,5049)
(12297,14,5006)
(12298,26,5094)
(12299,49,5097)
(12300,45,5035)
(12301,26,5096)
(12302,2,5024)
(12303,26,5094)
(12304,45,5049)
(12305,1,5095)
(12306,14,5014)
(12307,49,5082)
(12308,26,5094)
(12309,14,5024)
(12310,4,5014)
(12311,1,5008)
(12312,5,5029)
(12313,16,5086)
(12314,26,5006)
(12315,26,5007)
(12316,1,5022)
(12317,45,5062)
(12318,1,5083)
(12319,45,5048)
(12320,26,5037)
(12321,14,5037)
(12322,49,5063)
(12323,10,5041)
(12324,15,5050)
(12325,14,5081)
(12326,14,5013)
(12327,14,5081)
(12328,1,5054)
(12329,26,5066)
(12330,1,5093)
(12331,26,5051)
(12332,5,5079)
(12333,26,5096)
(12334,45,5040)
(12335,49,5004)
(12336,10,5067)
(12337,26,5091)
(12338,26,5029)
(12339,29,5046)
(12340,14,5006)
(12341,26,5025)
(12342,45,5006)
(12343,14,5048)
(12344,10,5086)
(12345,15,5001)
(12346,4,5082)
(12347,14,5040)
(12348,26,5032)
(12349,45,5029)
(12350,26,5041)
(12351,45,5040)
(12352,45,5095)
(12353,26,5069)
(12354,3,5063)
(12355,26,5006)
(12356,45,5096)
(12357,14,5097)
(12358,5,5027)
(12359,14,5037)
(12360,45,5081)
(12361,45,5028)
(12362,45,5088)
(12363,45,5044)
(12364,14,5078)
(12365,26,5094)
(12366,1,5050)
(12367,27,5041)
(12368,6,5051)
(12369,28,5063)
(12370,14,5068)
(12371,49,5079)
(12372,14,5049)
(12373,9,5049)
(12374,45,5049)
(12375,45,5051)
(12376,21,5022)
(12377,2,5094)
(12378,26,5081)
(12379,3,5028)
(12380,14,5006)
(12381,10,5009)
(12382,5,5081)
(12383,2,5010)
(12384,5,5069)
(12385,26,5040)
(12386,45,5003)
(12387,26,5006)
(12388,1,5081)
(12389,15,5077)
(12390,16,5055)
(12391,14,5082)
(12392,26,5086)
(12393,14,5049)
(12394,5,5096)
(12395,45,5092)
(12396,6,5029)
(12397,26,5029)
(12398,14,5083)
(12399,1,5088)
(12400,6,5040)
(12401,4,5055)
(12402,14,5037)
(12403,33,5023)
(12404,2,5010)
(12405,26,5083)
(12406,26,5091)
(12407,26,5008)
(12408,26,5002)
(12409,11,5022)
(12410,14,5091)
(12411,5,5023)
(12412,1,5069)
(12413,14,5008)
(12414,14,5014)
(12415,26,5069)
(12416,26,5044)
(12417,14,5094)
(12418,1,5066)
(12419,10,5066)
(12420,2,5069)
(12421,45,5083)
(12422,45,5013)
(12423,14,5065)
(12424,45,5095)
(12425,45,5001)
(12426,45,5003)
(12427,26,5094)
(12428,17,5023)
(12429,8,5009)
(12430,26,5064)
(12431,45,5068)
(12432,30,5022)
(12433,45,5064)
(12434,49,5023)
(12435,15,5001)
(12436,1,5001)
(12437,10,5059)
(12438,48,5055)
(12439,1,5069)
(12440,13,5004)
(12441,26,5093)
(12442,26,5081)
(12443,4,5068)
(12444,14,5028)
(12445,7,5035)
(12446,1,5009)
(12447,26,5008)
(12448,45,5040)
(12449,26,5044)
(12450,26,5014)
(12451,26,5054)
(12452,26,5050)
(12453,33,5004)
(12454,45,5091)
(12455,45,5078)
(12456,14,5024)
(12457,6,5069)
(12458,26,5093)
(12459,28,5077)
(12460,14,5094)
(12461,5,5001)
(12462,14,5069)
(12463,4,5044)
(12464,26,5068)
(12465,1,5038)
(12466,52,5082)
(12467,49,5004)
(12468,26,5008)
(12469,45,5037)
(12470,7,5090)
(12471,26,5014)
(12472,45,5090)
(12473,1,5023)
(12474,17,5004)
(12475,45,5003)
(12476,6,5093)
(12477,14,5090)
(12478,27,5055)
(12479,8,5096)
(12480,45,5064)
(12481,45,5027)
(12482,1,5064)
(12483,1,5096)
(12484,14,5037)
(12485,27,5044)
(12486,1,5051)
(12487,6,5039)
(12488,2,5038)
(12489,45,5040)
(12490,14,5066)
(12491,49,5004)
(12492,27,5091)
(12493,45,5054)
(12494,4,5040)
(12495,14,5093)
(12496,14,5040)
(12497,3,5083)
(12498,45,5078)
(12499,27,5002)
(12500,27,5065)
(12501,7,5069)
(12502,14,5038)
(12503,45,5051)
(12504,27,5001)
(12505,27,5092)
(12506,27,5044)
(12507,10,5082)
(12508,14,5069)
(12509,45,5054)
(12510,1,5001)
(12511,8,5006)
(12512,27,5091)
(12513,45,5044)
(12514,2,5027)
(12515,4,5081)
(12516,9,5051)
(12517,45,5091)
(12518,27,5029)
(12519,45,5065)
(12520,14,5011)
(12521,49,5050)
(12522,14,5090)
(12523,27,5068)
(12524,45,5028)
(12525,49,5063)
(12526,3,5028)
(12527,27,5064)
(12528,1,5007)
(12529,33,5004)
(12530,45,5067)
(12531,27,5078)
(12532,27,5005)
(12533,5,5052)
(12534,14,5032)
(12535,14,5048)
(12536,27,5027)
(12537,1,5086)
(12538,14,5081)
(12539,27,5049)
(12540,27,5000)
(12541,31,5097)
(12542,9,5090)
(12543,27,5059)
(12544,45,5067)
(12545,45,5054)
(12546,45,5059)
(12547,27,5032)
(12548,5,5064)
(12549,45,5095)
(12550,45,5040)
(12551,45,5054)
(12552,27,5037)
(12553,1,5027)
(12554,27,5000)
(12555,45,5067)
(12556,7,5039)
(12557,5,5068)
(12558,3,5090)
(12559,14,5091)
(12560,27,5067)
(12561,4,5090)
(12562,29,5007,5022,5035,5041,5042,5043,5051,5058,5059,5060,5061)
(12563,27,5011)
(12564,1,5096)
(12565,14,5044)
(12566,14,5044)
(12567,45,5011)
(12568,6,5094)
(12569,49,5050)
(12570,5,5059)
(12571,2,5007,5022,5035,5048,5056)
(12572,5,5066)
(12573,14,5069)
(12574,5,5004)
(12575,8,5092)
(12576,27,5029)
(12577,10,5010)
(12578,45,5032)
(12579,45,5009)
(12580,1,5032)
(12581,27,5092)
(12582,17,5052)
(12583,45,5001)
(12584,45,5048)
(12585,27,5005)
(12586,28,5077)
(12587,14,5051)
(12588,6,5078)
(12589,27,5032)
(12590,9,5049)
(12591,55,5004)
(12592,45,5094)
(12593,1,5065)
(12594,27,5012)
(12595,2,5062)
(12596,15,5001)
(12597,14,5067)
(12598,45,5090)
(12599,7,5002)
(12600,5,5054)
(12601,10,5068)
(12602,2,5038)
(12603,27,5086)
(12604,48,5046)
(12605,10,5046)
(12606,45,5010)
(12607,27,5029)
(12608,14,5088)
(12609,12,5022)
(12610,5,5011)
(12611,54,5086)
(12612,27,5096)
(12613,45,5081)
(12614,2,5014)
(12615,27,5059)
(12616,33,5004)
(12617,45,5035)
(12618,27,5067)
(12619,14,5011)
(12620,45,5032)
(12621,45,5028)
(12622,45,5035)
(12623,30,5007,5022,5035,5048,5062,5077,5090,5098,5099)
(12624,1,5003)
(12625,27,5000)
(12626,14,5008)
(12627,1,5093)
(12628,45,5081)
(12629,14,5029)
(12630,52,5082)
(12631,1,5049)
(12632,6,5051)
(12633,45,5012)
(12634,14,5014)
(12635,1,5094)
(12636,27,5051)
(12637,27,5054)
(12638,17,5046)
(12639,17,5023)
(12640,33,5004)
(12641,27,5039)
(12642,27,5092)
(12643,14,5007)
(12644,14,5092)
(12645,5,5023)
(12646,49,5023)
(12647,49,5079)
(12648,27,5014)
(12649,49,5050)
(12650,33,5052)
(12651,1,5008)
(12652,14,5007,5022,5035,5048,5062,5077,5084,5085,5086,5087)
(12653,14,5003)
(12654,14,5082)
(12655,9,5069)
(12656,27,5054)
(12657,1,5065)
(12658,45,5095)
(12659,27,5048)
(12660,14,5081)
(12661,3,5068)
(12662,8,5027)
(12663,54,5086)
(12664,45,5028)
(12665,5,5000)
(12666,2,5065)
(12667,10,5094)
(12668,51,5079)
(12669,45,5090)
(12670,27,5001)
(12671,3,5095)
(12672,1,5067)
(12673,27,5014)
(12674,1,5094)
(12675,45,5037)
